x_cat1,x_num1,train_x_num1,train_x_num2,train_x_num3,train_x_num4,train_x_num5,train_x_num6,train_x_num7,train_x_num8,train_x_num9,train_x_num10,train_x_num11,train_x_num12,train_x_num13,train_x_num14,train_x_num15,train_x_num16,train_x_num17,train_x_num18,train_x_num19,train_x_num20,train_x_num21,train_x_num22,train_x_num23,cards_x_cat2,cards_x_date1,label
493,800.96,398911.6200000003,2685,181356.9999999998,57.0,19.0,114.0,2495.0,35600.0,30300.0,54902.68000000002,60554.320000000094,0.0,0.0,0.0,105470.88000000002,60400.0,2240.9700000000007,0.0,13245.149999999998,4.0,20.0,0.6930678234599896,3.2502913460472582,0,1228579200.0,0
338,787.11,216283.59,73,5752.260000000001,0.0,0.0,6.0,67.0,0.0,0.0,2700.0,3052.260000000001,0.0,2700.0,0.0,1584.25,0.0,44.4,0.0,0.0,1.0,3.0,0.3146266024828463,0.6292532049656927,0,1229184000.0,0
497,103.34,406064.07,643,209320.48999999987,4.0,4.0,45.0,590.0,15500.0,5000.0,89161.4,99659.08999999998,0.0,0.0,0.0,104442.07,20500.0,1287.7,70100.0,12990.72,2.0,9.0,0.4235350055242186,1.4966903879208175,0,1216828800.0,0
410,1945.16,3210994.78,49,909792.5099999999,0.0,0.0,27.0,22.0,0.0,0.0,456766.0,453026.51000000007,0.0,218583.33,0.0,,0.0,0.0,427200.0,80766.0,2.0,3.0,0.5651067699567265,0.6830606378593979,0,1230393600.0,0
493,4162.45,74722.10000000003,525,11257.479999999925,0.0,0.0,17.0,508.0,0.0,0.0,5722.44,5535.040000000035,0.0,0.0,0.0,8789.640000000025,0.0,0.0,1119.0,0.0,1.0,5.0,0.2541508731734491,0.9667098621222776,0,1207584000.0,0
374,70.18,286271.1300000001,236,172615.7999999999,11.0,0.0,51.0,174.0,26700.0,0.0,59556.83,86358.96999999999,0.0,20.0,0.0,119611.05,26700.0,0.0,16810.0,8903.750000000002,3.0,5.0,0.6978023391872253,0.6959265230541196,0,1207929600.0,0
321,3654.9,461241.8700000002,147,30293.870000000006,18.0,0.0,5.0,124.0,11900.0,0.0,3247.6,15146.270000000004,0.0,0.0,0.0,15374.370000000004,11900.0,3019.5,0.0,0.0,2.0,5.0,0.4904348231819124,1.0436104670889153,0,1212508800.0,0
311,0.0,609249.1300000001,1764,5228428.049999999,0.0,4.0,1627.0,133.0,0.0,19000.0,2582242.03,2627186.02,0.0,2741847.01,0.0,59647.88000000001,19000.0,0.0,2366455.15,41478.01,174.0,13.0,59.53382528677586,4.159566600259491,0,1416326400.0,0
351,8.39,1150857.3300000005,198,194922.60000000003,0.0,0.0,110.0,88.0,0.0,0.0,105079.64,89842.96,0.0,0.0,0.0,90891.44,0.0,0.0,0.0,5.0,2.0,5.0,0.5287022125223512,0.8699418123062925,0,1216051200.0,0
416,10445.48,2510926.7600000007,139,133525.01,5.0,0.0,7.0,127.0,55500.0,0.0,11303.0,66722.01000000001,0.0,0.0,0.0,74831.70999999999,55500.0,3193.3,0.0,0.0,3.0,5.0,0.4271037138887725,0.9052822872099172,0,1221062400.0,0
211,19177.79,7542178.670000005,220,419407.42,0.0,17.0,18.0,185.0,0.0,22800.0,211680.0,184927.42,0.0,211380.0,0.0,157988.4,21400.0,16509.7,0.0,12129.32,2.0,8.0,0.4502924118406998,1.5938408337834111,0,1213200000.0,0
280,15192.38,7689530.539999999,91,492765.00000000006,0.0,21.0,17.0,53.0,0.0,37500.0,239104.60000000012,216160.4,0.0,0.0,0.0,2200.0,11000.0,0.0,0.0,45430.4,1.0,4.0,0.4340573661412155,0.8963789997361303,0,1226678400.0,0
366,1136.01,8446537.629999997,54,80782.09000000001,0.0,2.0,17.0,35.0,0.0,10000.0,47032.51,23749.58,0.0,0.0,0.0,52965.09,0.0,6.0,14710.0,13101.0,4.0,5.0,0.8793096632421185,1.2210353882483664,0,1206028800.0,0
389,755.77,1621552.9000000006,393,723350.4700000004,0.0,0.0,176.0,217.0,0.0,0.0,371848.04,351502.4299999999,0.0,195628.08,103807.5,110316.41000000003,0.0,5.0,8855.1,7500.750000000003,6.0,5.0,1.0337985688279034,0.9950938199560182,0,1210608000.0,0
338,3705.16,1605104.5400000003,994,619704.1400000018,16.0,6.0,87.0,885.0,92500.0,69200.0,217939.83,240064.30999999962,5319.18,313693.07,0.0,114649.52999999982,181700.0,1342.36,3000.0,0.0,11.0,11.0,0.8639213289454792,1.8393090853371883,0,1215187200.0,0
204,1555.35,2726695.6300000004,36,65541.15,5.0,12.0,0.0,19.0,35900.0,28000.0,0.0,1641.15,7000.0,0.0,0.0,,56900.0,0.0,0.0,0.0,2.0,7.0,0.4833407013879894,1.2619796324000607,0,1213718400.0,0
325,0.0,135.14,37,187204.42000000013,0.0,0.0,8.0,29.0,0.0,0.0,93605.1,93599.31999999996,0.0,49999.01,0.0,43600.40999999999,0.0,0.0,93600.0,5.0,6.0,27.0,2.7080128015453195,13.175102782647778,0,1416326400.0,1
275,205.12,1009881.7500000001,427,256258.7299999998,0.0,0.0,57.0,370.0,0.0,0.0,127776.34,128482.38999999994,0.0,118097.0,0.0,135256.3299999999,0.0,2545.36,0.0,0.0,3.0,10.0,0.6465899264509473,1.4608936824668874,0,1219852800.0,0
